prestamo_id,isbn,usuario,fecha_prestamo,fecha_devolucion
294,978-600000518,Paula Nieto,2024-03-26,2024-05-06
200,978-600000888,Ivan Rios,2024-04-01,2024-05-13
77,978-600000296,CARLA RUIZ ,2024-04-02,2024-04-24
23,978-600000037,Ivan Rios,2024-04-03,2024-04-06
181,978-600000777,Paula Nieto,2024-04-04,2024-04-11
279,978-600001110,Diego Paz,2024-04-04,2024-04-14
7,978-600000444,Luis Mendez,2024-04-06,2024-05-14
127,978-600001073,  paula nieto,2024-04-08,2024-04-22
194,978-600000407,Diego Paz,2024-04-10,
103,978-600000111,Tomas Vega,2024-04-11,2024-04-23
192,978-600000259,Paula Nieto,2024-04-11,2024-04-16
90,978-600001147,Elena Ortiz,2024-04-12,2024-04-15
146,978-600000185,Diego Paz,2024-04-12,2024-04-27
61,978-600000629,Sofia Leon,2024-04-13,
251,978-600000407,  paula nieto,2024-04-13,2024-04-19
180,978-600000518,  elena ortiz,2024-04-14,
8,978-600000185,  tomas vega,2024-04-15,2024-05-22
78,978-600001517,Elena Ortiz,2024-04-15,2024-05-20
244,978-600000185,  paula nieto,2024-04-15,2024-04-20
27,978-600000148,  diego paz,2024-04-16,2024-04-26
110,978-600001073,Elena Ortiz,2024-04-17,2024-04-25
234,978-600000629,Elena Ortiz,2024-04-21,2024-05-26
276,978-600000259,ANA TORRES ,2024-04-21,2024-05-06
5,978-600001369,Tomas Vega,2024-04-23,2024-05-04
217,978-600000777,Ana Torres,2024-04-23,2024-06-04
148,978-600001184,TOMAS VEGA ,2024-04-24,2024-06-08
38,978-600000481,Diego Paz,2024-04-26,2024-05-30
41,978-600000888,LUIS MENDEZ ,2024-04-26,2024-05-20
286,978-600000333,Ivan Rios,2024-04-27,2024-05-24
175,978-600000259,Ana Torres,2024-04-28,
254,978-600000703,Diego Paz,2024-04-28,2024-05-08
92,978-600000962,ANA TORRES ,2024-04-29,2024-06-04
176,978-600000888,Ana Torres,2024-04-29,2024-05-14
238,978-600000037,Ana Torres,2024-04-29,2024-05-21
297,978-600001332,LUIS MENDEZ ,2024-04-29,
235,978-600000037,CARLA RUIZ ,2024-04-30,
262,978-600000814,Ivan Rios,2024-05-01,2024-05-21
128,978-600000814,  sofia leon,2024-05-02,2024-06-10
141,978-600000666,Marco Silva,2024-05-04,2024-05-22
222,978-600001147,  carla ruiz,2024-05-04,2024-06-04
172,978-600000481,IVAN RIOS ,2024-05-05,2024-05-26
199,978-600000740,Paula Nieto,2024-05-07,2024-06-21
292,978-600000518,Luis Mendez,2024-05-08,2024-06-17
30,978-600001480,  paula nieto,2024-05-09,
207,978-600000555,Luis Mendez,2024-05-09,2024-06-20
280,978-600001480,Marco Silva,2024-05-09,2024-06-06
85,978-600000037,Luis Mendez,2024-05-10,2024-05-16
261,978-600000407,Ivan Rios,2024-05-11,2024-05-22
269,978-600000703,  ivan rios,2024-05-11,2024-06-08
71,978-600000666,Carla Ruiz,2024-05-12,2024-06-18
101,978-600001147,Elena Ortiz,2024-05-15,2024-05-31
211,978-600000777,PAULA NIETO ,2024-05-15,2024-06-20
73,978-600000444,Paula Nieto,2024-05-17,
87,978-600000111,IVAN RIOS ,2024-05-17,2024-06-05
105,978-600000037,  ivan rios,2024-05-17,
171,978-600000703,ELENA ORTIZ ,2024-05-17,2024-06-05
223,978-600000259,Luis Mendez,2024-05-18,2024-06-06
70,978-600000555,  luis mendez,2024-05-19,2024-06-02
117,978-600000185,Marco Silva,2024-05-20,
59,978-600001221,Tomas Vega,2024-05-21,2024-06-27
39,978-600000851,Ana Torres,2024-05-23,2024-06-07
86,978-600000222,Paula Nieto,2024-05-24,2024-06-14
118,978-600000666,  luis mendez,2024-05-26,2024-06-07
122,978-600001073,Tomas Vega,2024-05-26,2024-07-03
18,978-600001184,ANA TORRES ,2024-05-27,2024-06-14
245,978-600000111,Luis Mendez,2024-05-27,2024-06-07
248,978-600000777,Tomas Vega,2024-05-27,2024-05-31
106,978-600000259,Diego Paz,2024-05-28,2024-06-18
50,978-600000518,ANA TORRES ,2024-05-29,2024-07-08
145,978-600000888,PAULA NIETO ,2024-05-29,2024-07-03
285,978-600000851,Paula Nieto,2024-05-30,
147,978-600000555,IVAN RIOS ,2024-05-31,2024-07-12
295,978-600000222,Sofia Leon,2024-06-01,2024-06-17
10,978-600000444,  diego paz,2024-06-02,2024-06-26
124,978-600000629,Paula Nieto,2024-06-03,2024-07-18
63,978-600000592,  paula nieto,2024-06-04,
104,978-600000814,Elena Ortiz,2024-06-04,2024-06-15
164,978-600000444,Ana Torres,2024-06-04,
282,978-600001406,  elena ortiz,2024-06-04,2024-07-10
155,978-600000925,Marco Silva,2024-06-07,
229,978-600000999,TOMAS VEGA ,2024-06-07,2024-07-20
185,978-600000740,Paula Nieto,2024-06-08,2024-07-03
13,978-600000185,Sofia Leon,2024-06-09,2024-07-04
272,978-600000444,Luis Mendez,2024-06-09,2024-06-18
119,978-600000592,Elena Ortiz,2024-06-10,2024-07-06
160,978-600001480,ANA TORRES ,2024-06-11,
165,978-600000370,TOMAS VEGA ,2024-06-12,2024-07-23
288,978-600000851,Diego Paz,2024-06-13,2024-07-13
55,978-600001480,Luis Mendez,2024-06-15,2024-07-21
93,978-600000370,Tomas Vega,2024-06-15,2024-07-19
167,978-600000111,Ivan Rios,2024-06-15,2024-07-15
72,978-600001221,Tomas Vega,2024-06-16,2024-06-22
236,978-600000481,Carla Ruiz,2024-06-16,2024-07-13
37,978-600001295,Sofia Leon,2024-06-17,2024-07-29
126,978-600001184,SOFIA LEON ,2024-06-19,
246,978-600000259,DIEGO PAZ ,2024-06-21,2024-06-25
159,978-600000629,Diego Paz,2024-06-22,2024-07-16
83,978-600000740,Diego Paz,2024-06-24,2024-08-06
123,978-600000333,Carla Ruiz,2024-06-24,2024-07-13
40,978-600001443,Marco Silva,2024-06-27,
17,978-600000851,Ana Torres,2024-06-30,2024-07-10
36,978-600001258,Marco Silva,2024-07-01,
21,978-600001332,Elena Ortiz,2024-07-02,2024-07-29
111,978-600000370,SOFIA LEON ,2024-07-03,2024-08-15
289,978-600001480,Luis Mendez,2024-07-04,2024-07-26
112,978-600001221,Elena Ortiz,2024-07-05,2024-08-08
186,978-600000999,  paula nieto,2024-07-05,2024-08-02
218,978-600001517,Paula Nieto,2024-07-05,
67,978-600000481,Marco Silva,2024-07-06,2024-08-13
179,978-600001480,MARCO SILVA ,2024-07-07,2024-07-12
190,978-600000962,Luis Mendez,2024-07-08,2024-07-21
278,978-600001147,  sofia leon,2024-07-08,2024-08-06
114,978-600000740,Carla Ruiz,2024-07-11,2024-08-04
152,978-600001258,  ivan rios,2024-07-12,
102,978-600000555,Ivan Rios,2024-07-14,2024-08-04
68,978-600001110,Ivan Rios,2024-07-15,2024-08-26
132,978-600000222,Elena Ortiz,2024-07-15,2024-08-15
16,978-600001369,IVAN RIOS ,2024-07-16,
193,978-600001147,  marco silva,2024-07-17,2024-08-28
267,978-600001517,LUIS MENDEZ ,2024-07-17,2024-07-20
275,978-600000444,Marco Silva,2024-07-18,
82,978-600001036,Ivan Rios,2024-07-20,
149,978-600000148,  tomas vega,2024-07-20,2024-07-24
213,978-600000259,Elena Ortiz,2024-07-20,2024-08-15
45,978-600000814,Luis Mendez,2024-07-21,2024-07-29
173,978-600001406,Diego Paz,2024-07-21,2024-08-08
115,978-600000037,Marco Silva,2024-07-22,2024-08-06
120,978-600001036,Ana Torres,2024-07-23,
195,978-600000444,TOMAS VEGA ,2024-07-23,
256,978-600001517,Marco Silva,2024-07-24,
188,978-600001036,Luis Mendez,2024-07-26,2024-08-21
184,978-600000407,Paula Nieto,2024-07-28,
274,978-600001147,  ivan rios,2024-07-28,2024-09-11
142,978-600001332,  diego paz,2024-07-29,2024-08-20
129,978-600000481,Ana Torres,2024-07-30,2024-09-04
143,978-600000148,ANA TORRES ,2024-08-03,2024-08-20
281,978-600000148,  ana torres,2024-08-03,2024-08-28
270,978-600000037,Diego Paz,2024-08-08,2024-09-17
44,978-600000481,Ivan Rios,2024-08-10,
187,978-600000962,Diego Paz,2024-08-10,
266,978-600000370,Elena Ortiz,2024-08-10,2024-08-19
138,978-600000333,Elena Ortiz,2024-08-11,2024-08-21
233,978-600000148,Elena Ortiz,2024-08-11,2024-09-16
296,978-600001258,Luis Mendez,2024-08-12,2024-08-22
62,978-600000333,  paula nieto,2024-08-14,2024-09-28
81,978-600001221,IVAN RIOS ,2024-08-16,2024-09-29
260,978-600001258,Carla Ruiz,2024-08-18,2024-09-10
212,978-600000148,Marco Silva,2024-08-19,2024-09-28
231,978-600001110,Luis Mendez,2024-08-19,2024-08-28
293,978-600000370,DIEGO PAZ ,2024-08-19,2024-08-31
9,978-600001036,Marco Silva,2024-08-20,2024-09-07
75,978-600000185,Elena Ortiz,2024-08-20,2024-09-27
14,978-600001443,Ivan Rios,2024-08-21,2024-08-29
136,978-600001258,Luis Mendez,2024-08-22,2024-08-27
201,978-600001184,IVAN RIOS ,2024-08-22,
162,978-600000259,Ivan Rios,2024-08-26,
47,978-600000370,Tomas Vega,2024-08-30,2024-09-24
156,978-600001036,  luis mendez,2024-08-30,2024-10-06
157,978-600001073,Diego Paz,2024-08-30,2024-09-28
287,978-600000629,Paula Nieto,2024-09-03,2024-09-23
298,978-600001147,Ivan Rios,2024-09-04,2024-09-16
65,978-600000555,Luis Mendez,2024-09-06,2024-10-21
12,978-600000407,MARCO SILVA ,2024-09-07,2024-10-22
99,978-600001517,Sofia Leon,2024-09-07,2024-10-09
113,978-600000962,ANA TORRES ,2024-09-08,2024-10-06
206,978-600000296,  diego paz,2024-09-08,2024-09-21
252,978-600000037,Marco Silva,2024-09-08,2024-09-22
163,978-600000925,Elena Ortiz,2024-09-09,2024-10-13
19,978-600000962,Paula Nieto,2024-09-11,2024-10-12
258,978-600000629,Paula Nieto,2024-09-13,2024-10-26
268,978-600000962,Paula Nieto,2024-09-13,
208,978-600000666,  ivan rios,2024-09-14,
80,978-600000111,  ana torres,2024-09-15,2024-09-30
95,978-600001517,Paula Nieto,2024-09-15,2024-10-21
2,978-600000259,Marco Silva,2024-09-16,2024-09-24
109,978-600000074,Elena Ortiz,2024-09-16,
209,978-600001147,Diego Paz,2024-09-16,2024-10-12
53,978-600000333,SOFIA LEON ,2024-09-18,2024-10-19
204,978-600000222,Marco Silva,2024-09-18,2024-10-23
66,978-600000555,Carla Ruiz,2024-09-20,2024-10-19
253,978-600001184,Tomas Vega,2024-09-20,2024-10-03
52,978-600001110,Tomas Vega,2024-09-21,2024-10-26
225,978-600001443,Tomas Vega,2024-09-22,2024-10-10
228,978-600000481,Carla Ruiz,2024-09-22,2024-10-27
191,978-600000370,MARCO SILVA ,2024-09-23,2024-09-30
60,978-600001147,Sofia Leon,2024-09-24,
220,978-600001369,Marco Silva,2024-09-24,2024-10-11
131,978-600000888,Carla Ruiz,2024-09-27,2024-10-13
226,978-600000407,  ana torres,2024-09-29,2024-10-13
243,978-600000888,Diego Paz,2024-09-30,
237,978-600000814,TOMAS VEGA ,2024-10-01,2024-11-06
140,978-600000555,  tomas vega,2024-10-02,2024-11-03
299,978-600001184,Diego Paz,2024-10-03,2024-10-06
34,978-600001258,  marco silva,2024-10-05,
88,978-600000888,Marco Silva,2024-10-07,2024-10-12
182,978-600000518,Ana Torres,2024-10-07,2024-11-05
198,978-600000296,Paula Nieto,2024-10-08,
98,978-600000259,Paula Nieto,2024-10-12,2024-10-16
224,978-600000037,Ana Torres,2024-10-14,
255,978-600001517,Luis Mendez,2024-10-14,
284,978-600001517,Diego Paz,2024-10-14,2024-10-26
300,978-600000407,Marco Silva,2024-10-15,2024-11-05
24,978-600000370,Paula Nieto,2024-10-16,2024-10-27
290,978-600000925,  ana torres,2024-10-16,
277,978-600001258,  marco silva,2024-10-21,2024-11-06
214,978-600000629,Paula Nieto,2024-10-22,2024-11-15
4,978-600001369,Luis Mendez,2024-10-25,
139,978-600000259,Luis Mendez,2024-10-25,2024-11-13
271,978-600000999,Diego Paz,2024-10-25,
291,978-600000333,Sofia Leon,2024-10-25,2024-10-28
216,978-600000629,Elena Ortiz,2024-10-26,
